"The recipe","Source file count","Source file changed count","Cumulative scanning time (ns)","99th percentile scanning time (ns)","Max scanning time (ns)","Cumulative edit time (ns)","99th percentile edit time (ns)","Max edit time (ns)"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.java.spring.security6.oauth2.client.OAuth2ClientLambdaDsl","7","4","0","0.0","0","19400","8696.0","8300"
"org.openrewrite.java.spring.data.RefactorSimpleMongoDbFactory","7","4","0","0.0","0","39000","12792.0","12300"
"org.openrewrite.apache.httpclient5.MigrateSSLConnectionSocketFactory","7","4","0","0.0","0","50600","8184.0","8000"
"org.openrewrite.java.migrate.BouncyCastleFromJdk15OnToJdk15to18","7","4","13500","0.0","5900","23200","4320.0","12000"
"org.openrewrite.java.spring.security5.ReplaceGlobalMethodSecurityWithMethodSecurity","7","4","0","0.0","0","10000","4600.0","4600"
"org.openrewrite.java.migrate.javax.JavaxManagementMonitorAPIs","7","4","4400","0.0","1800","13300","1904.0","6800"
"org.openrewrite.java.migrate.IllegalArgumentExceptionToAlreadyConnectedException","7","4","0","0.0","0","14100","8188.0","8100"
"org.openrewrite.java.spring.cloud2025.DependencyUpgrades","7","4","3900","0.0","1900","7300","3960.0","3900"
"org.openrewrite.java.migrate.RemovedSSLSessionGetPeerCertificateChainMethodImpl","7","4","9100","0.0","6400","11700","2680.0","5600"
"org.openrewrite.java.ChangeMethodName","7","4","0","0.0","0","7557000","81916.0","173100"
"org.openrewrite.java.migrate.lombok.UpdateLombokToJava11","7","4","7000","0.0","4800","22000","4576.0","8100"
"org.openrewrite.java.testing.junit5.UseXMLUnitLegacy","7","4","0","0.0","0","41100","1904.0","35400"
"org.openrewrite.java.spring.framework.MigrateHandlerResultHasExceptionHandlerMethod","7","4","0","0.0","0","7000","3196.0","3100"
"org.openrewrite.java.migrate.jakarta.JettyUpgradeEE10","7","4","9700","0.0","5300","12100","1824.0","4700"
"org.openrewrite.java.migrate.AddMissingMethodImplementation","7","4","0","0.0","0","436500","77816.0","74600"
"org.openrewrite.java.migrate.ThreadStopDestroy","7","4","4700","0.0","1900","54100","2800.0","46600"
"org.openrewrite.java.testing.junit5.UpdateMockWebServer","7","4","0","0.0","0","14200","4344.0","4300"
"org.openrewrite.java.spring.framework.UseObjectUtilsIsEmpty","7","4","50000","0.0","10200","43400","4080.0","7300"
"org.openrewrite.java.spring.batch.UpgradeSkipPolicyParameterType","7","4","2600","0.0","900","18800","6112.0","6000"
